Date Saved,25.11.2022 15:51:27
Title,I7-F8-T3500_43_4727K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],4727
⊿uv,-0.0101
Illuminance [lx],2290
Illuminance [fc],212
Target CCT [K],10000
LB Index [MK⁻¹],-112
LB Camera Filter,80B
LB Lighting Filter,L202 1/2 CTB, L218 1/8 CTB
CC Index,1.0G
CC Camera Filter,CC025G
CC Lighting Filter,-----
CRI Ra,92.2
CRI R1,90.2
CRI R2,95.3
CRI R3,93.8
CRI R4,89.8
CRI R5,91.7
CRI R6,93.8
CRI R7,95.8
CRI R8,87.1
CRI R9,66.9
CRI R10,92.7
CRI R11,86.9
CRI R12,86.9
CRI R13,91.2
CRI R14,95.7
CRI R15,85.9

